,Date,Nb Samples,Mean Tamb,Mean Sun Rad,Std Tamb,Std Sun Rad
CritMin,2017-12-29,16,-2.032109375,243.58723958333334,0.43536044211021085,2.7229436977957775
Med. 0,2017-01-26,77,0.12721320346320344,277.7832792207792,0.7208828044951522,30.902554296814603
Med. 5,2017-11-17,25,4.296683333333333,284.3016666666667,1.1647783979947366,33.11657994837105
Med. 1,2017-03-21,32,6.610026041666667,377.7252604166667,0.8599885187815911,16.687625797839097
Med. 6,2017-10-25,25,8.83025,301.93333333333334,1.3211643523608538,12.872897111168179
Med. 2,2017-04-20,27,9.92033950617284,413.05324074074076,0.9445490478564804,26.134984298662022
Med. 3,2017-05-13,33,13.120138888888889,410.78409090909093,1.256505763880274,50.18724050643945
Med. 4,2017-09-15,45,18.15184259259259,403.2023148148148,1.3766592017762787,42.13290065394777
VarMax,2017-06-30,63,22.23486111111111,440.6134259259259,0.9632007236088292,24.27418546518108
CritMax,2017-07-17,20,24.104,446.4,0.3846488297424316,7.418654868537829
