Model,RC,NN1,NN1,NN1,NN2,NN2,NN2,NN3
Formulation,QP,SS,QP,FB,SS,QP,FB,QP
Ex-post+ ($),252,94,130,113,84,182,101,125
Hierarchical loss,24.7,20.4,14.3,12.8,22.2,12.4,11.4,13.2
MAE (kW),0.6,0.52,0.55,0.55,0.5,0.54,0.54,0.54
MSE (kW2),0.44,0.35,0.37,0.39,0.34,0.39,0.39,0.39
Error mean (kW),-0.07,-0.08,0.07,0.04,-0.01,0.02,0.01,0.03
Error std (kW),0.39,0.42,0.37,0.36,0.45,0.37,0.39,0.36
Expected cost ($),32.3,37.9,45.8,45.8,39.9,47.4,43.1,45.4
Ex-post cost ($),38.0,41.5,41.1,41.0,41.8,41.2,42.7,43.2
Cost error ($),5.74,3.64,-4.69,-4.74,1.95,-6.17,-0.43,-2.22
Temp. Penalty($),162,31,57,41,35,59,47,58
Nb. Epochs,150,71,36,54,43,25,94,100
Training time,03:30:24,01:08:34,00:48:59,00:56:49,04:17:05,00:49:33,07:19:17,04:25:18
Validation time,03:14:32,01:07:13,00:44:01,00:52:38,04:22:52,00:59:21,06:16:23,03:54:35
Test time,00:00:46,00:00:49,00:01:51,00:00:57,00:07:59,00:01:57,00:01:05,00:10:13
