Model,RC,RC,NN1,NN1,NN2,NN2,NN3,NN3
Formulation,ITO,QP,ITO,SS,ITO,SS,ITO,QP
Ex-post+ ($),516,252,318,94,495,84,579,125
Hierarchical loss,54.2,24.7,35.2,20.4,43.7,22.2,39.4,13.2
MAE (kW),0.59,0.6,0.5,0.52,0.51,0.5,0.53,0.54
MSE (kW2),0.45,0.44,0.34,0.35,0.36,0.34,0.38,0.39
Error mean (kW),-0.27,-0.07,-0.26,-0.08,-0.35,-0.01,-0.35,0.03
Error std (kW),0.55,0.39,0.38,0.42,0.38,0.45,0.35,0.36
Expected cost ($),21.3,32.3,26.8,37.9,21.7,39.9,20.5,45.4
Ex-post cost ($),41.5,38.0,41.6,41.5,42.2,41.8,42.2,43.2
Cost error ($),20.2,5.7,14.7,3.6,20.5,2.0,21.7,-2.2
Temp. Penalty($),55,162,32,31,17,35,16,58
Nb. Epochs,0,150,0,71,0,43,0,100
Training time,-,03:30:24,-,01:08:34,-,04:17:05,-,04:25:18
Validation time,-,03:14:32,-,01:07:13,-,04:22:52,-,03:54:35
Test time,00:01:12,00:00:46,00:01:46,00:00:49,00:02:17,00:07:59,02:15:50,00:10:13
