Architecture,NN1,NN1,NN1,NN1,NN2,NN2,NN2,NN2
S,1,2,5,10,1,2,5,10
Ex-post+ ($),94,148,220,187,84,108,239,161
Hierarchical loss,20.4,25.4,22.6,28.6,22.2,17.4,29.7,26.4
MAE (kW),0.52,0.52,0.52,0.51,0.5,0.51,0.48,0.49
MSE (kW2),0.35,0.36,0.35,0.34,0.34,0.36,0.33,0.3
Error mean (kW),-0.08,-0.15,-0.03,-0.18,-0.01,-0.0,-0.22,-0.2
Error std (kW),0.42,0.39,0.44,0.38,0.45,0.43,0.41,0.36
Expected cost ($),37.9,33.5,43.0,31.6,39.9,44.4,29.3,33.9
Ex-post cost ($),41.5,41.5,41.1,41.4,41.8,41.8,42.0,42.3
Cost error ($),3.6,8.0,-1.9,9.8,2.0,-2.6,12.8,8.4
Temp. Penalty($),31.4,31.1,40.9,34.3,35.3,34.8,25.7,17.9
Nb. Epochs,71,41,29,29,43,60,32,79
Training time,01:08:34,04:02:05,06:36:14,13:22:12,04:17:05,09:25:25,14:41:25,01:25:21
Validation time,01:07:13,01:54:36,01:22:29,01:21:02,04:22:52,04:28:48,02:46:40,01:59:16
Test time,00:00:49,00:02:40,00:02:32,00:02:31,00:07:59,00:03:59,00:07:04,00:00:56
