Type,Constant,Constant,Constant,Constant,Constant,Variable,Variable,Variable,Variable,Variable
Value,0.01,0.05,0.1,mu/10,mu/2,0.01,0.05,0.1,mu/10,mu/2
Ex-post+ ($),84,153,207,296,219,146,161,178,195,214
Hierarchical loss,22.2,22.2,28.2,41.6,36.1,18.9,33.6,30.3,27.1,38.0
MAE (kW),0.5,0.49,0.54,0.54,0.49,0.49,0.5,0.49,0.44,0.51
MSE (kW2),0.34,0.32,0.39,0.38,0.34,0.31,0.36,0.34,0.27,0.36
Error mean (kW),-0.01,-0.12,-0.14,-0.28,-0.15,-0.06,-0.17,-0.14,-0.17,-0.19
Error std (kW),0.45,0.36,0.45,0.47,0.44,0.37,0.47,0.51,0.36,0.47
Expected cost ($),39.9,35.8,34.6,27.6,32.3,40.6,34.0,34.9,31.9,31.1
Ex-post cost ($),41.8,42.2,42.2,42.0,41.7,42.2,42.3,41.9,42.2,42.1
Cost error ($),2.0,6.5,7.6,14.4,9.4,1.6,8.4,7.0,10.3,11.0
Temp. Penalty($),35.3,31.3,27.4,23.0,54.0,38.1,26.0,28.9,22.4,30.6
Nb. Epochs,43,56,70,22,41,63,31,27,30,37
Training time,04:17:05,07:45:03,10:19:47,03:55:28,05:45:09,09:47:09,04:55:02,04:20:33,04:32:57,05:12:58
Validation time,04:22:52,07:26:47,07:07:09,02:34:56,03:44:33,09:17:36,04:15:59,03:27:25,02:59:57,03:24:15
Test time,00:07:59,00:12:44,00:04:09,00:05:49,00:06:40,00:07:19,00:07:45,00:06:59,00:06:28,00:04:39
